Molecule,"Electronic state","Reduced mass","Te (cm^{-1})","omega_e (cm^{-1})","omega_ex_e (cm^{-1})","Be (cm^{-1})","alpha_e (cm^{-1})","De (10^{-7}cm^{-1})","Re (\AA)","D0 (eV)","IP (eV)",Reference,"Date of reference"
GeD,"X $^2\Pi$",1.95923588,0,1320.09,19,3.4145,0.0702,832,1.5874,3.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GeD,"A $^2\Delta$",1.95923588,25460,1027.82,65.73,3.286,0.167,1400,1.6182,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GeO,"X $^1\Sigma^+$",13.14962564,0,985.5,4.29,0.4856962,0.0030756,4.72,1.624648,6.78,11.1,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GeO,"a' $^3\Sigma^+$",13.14962564,27733,633.3,2.7,0.389,,,1.815,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GeO,"a $^3\Pi_1$",13.14962564,32132,734.9,5.3,0.438,,,1.711,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GeO,"A $^1\Pi$",13.14962564,37766.9,650.4,4.21,0.4133,0.0033,8.2,1.761,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
HF,"X $^1\Sigma^+$",0.95705545,0,4138.32,89.88,20.9557,0.798,21.51,0.916808,5.869,16.039,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
HF,"B $^1\Sigma^+$",0.95705545,84776.65,1159.18,18.005,4.0291,0.0177,1.932,2.09086,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
DF,"X $^1\Sigma^+$",1.8210454,0,2998.192,45.761,11.0102,0.3017,5940,0.91694,5.938,16.058,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
DF,"B $^1\Sigma^+$",1.8210454,84824,839.4,8.9,2.121,0.00712,554.3,2.0891,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
HfO,"X $^1\Sigma^+$",14.68923287,0,974.09,3.228,0.386537,0.001724,2.438,1.723071,8.19,7.55,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
HfO,"A $^1\Sigma^+$",14.68923287,16616.92,914.24,3.38,0.377985,0.001827,2.587,1.742454,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
HoF,X,17.0360178,0,645.28,2.603,0.26295,0.00145,1.78,1.9399,5.57,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
HoF,A,17.0360178,19152.77,539.45,4.39,0.24591,0.00217,1.73,2.006,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
ICl,"X $^1\Sigma^+$",27.4146708,0,384.293,1.501,0.1141587,0.0005354,0.403,2.320878,2.1531,10.08,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
ICl,"A $^3\Pi_1$",27.4146708,13742,212.3,2.39,0.08483,,0.54,2.6923,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
IF,"X $^1\Sigma^+$",16.5245715,0,610.24,3.123,0.2797108,0.0018734,2.37,1.9098,2.879,10.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
IF,"A $^3\Pi_1$",16.52457,15706,380.5,3.8,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
IF,"B $^3\Pi_0^+$",16.52457,19052.2,411.34,2.825,0.22721,0.00139,2.8,2.1189,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
InCl,"X $^1\Sigma^+$",26.8097927,0,317.4,1.01,0.109058,0.0005178,0.514,2.401169,4.44,9.51,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
InCl,"A $^3\Pi_0^+$",26.8097927,27764.7,340.3,2,0.1155,0.000654,0.65,2.333,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
InF,"X $^1\Sigma^+$",16.3028614,0,535.35,2.64,0.26232411,0.00187977,2.52,1.985396,5.25,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
InF,"A $^3\Pi_0^+$",16.3028614,30445.86,575.2,3.676,0.2732,0.00202,2.5,1.9455,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
InH,"X $^1\Sigma^+$",0.99906241,0,1476.04,25.61,4.9945,0.1428,2230,1.838,2.48,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
InH,"a $^3\Pi_0^-$",0.99906241,16230,1303.42,,5.349,0.326,2810,1.776,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
InH,"a $^3\Pi_0^+$",0.99906241,16278.15,1458.57,61.03,5.329,0.2468,2770,1.7794,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
InH,"a $^3\Pi_1$",0.99906241,16941.61,1415.11,43.55,5.3996,0.2356,3210,1.7678,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
InH,"a $^3\Pi_2$",0.99906241,17800,1300.9,,5.489,0.332,3460,1.753,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
IO,"X $^2\Pi_{3/2}$",14.20458333,0,681.47,4.29,0.34026,0.002696,3.6,1.8676,1.8,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
IO,"X $^2\Pi_{3/2}$",14.20458333,2330,,,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
IO,"A $^2\Pi_{3/2}$",14.20458333,21557.81,514.57,5.52,0.27635,0.00273,3.2,2.0723,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
KH,"X $^1\Sigma^+$",0.98241434,0,983.6,14.32,3.4123,0.0817,1530,2.2425,1.86,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
KH,"A $^1\Sigma^+$",0.98241434,19052.8,228.2,-5.75,1.269,-0.0375,950,3.68,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
KD,"X $^1\Sigma^+$",1.91510699,0,706.6,7.73,1.7539,0.0318,470,2.2403,1.89,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
KD,"A $^1\Sigma^+$",1.91510699,19060,161,-3.3,0.659,-0.0127,270,3.65,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
LaO,"X $^2\Sigma^+$",14.3433002,0,812.75,2.22,0.3526,0.0014,2.6,1.8257,8.23,4.95,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
LaO,"a' $^2\Delta$",14.3433002,7493.4,768,2.17,0.3435,0.0016,2.8,1.8485,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
LaO,"a' $^2\Delta$",14.3433002,8191.2,771.6,2.3,0.3444,0.0017,2.8,1.8485,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
LaO,"A $^2\Pi$",14.3433002,12663.3,761.8,2.12,0.3463,,3.1,1.8422,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
LaO,"A $^2\Pi$",14.3433002,13525.6,757.17,2.01,0.3463,,3.1,1.8422,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
LaS,"X $^2\Sigma^+$",25.9899651,0,456.7,0.965,0.11693,0.00034,0.3,2.3552,5.91,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
LaS,"B $^2\Sigma^+$",25.9899651,13790.17,410.075,0.94,0.11099,0.00034,0.31,2.4174,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
LiO,"X $^2\Pi$",4.8768325,0,851.5,12.5,1.202,0.0151,,1.695,3.49,8.45,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
LiO,"A $^2\Sigma^+$",4.8768325,2330,866.7,6.7,1.349,0.0199,,1.599,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
LuF,"X $^1\Sigma^+$",17.1373091,0,611.79,2.54,0.26764,0.00156,2.04,1.9171,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1976"
LuF,"A $^1\Sigma$",17.1373091,16164.66,587.9,2.58,0.26356,0.00162,2.08,1.9319,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1976"
LuF,"B $^1\Pi$",17.1373091,16799.9,576.08,2.5,0.26241,0.0016,2.03,1.9361,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1976"
LuD,"X $^1\Sigma^+$",1.99117769,0,1075.35,10.3,2.3203,0.0356,433,1.9102,3.4,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1975"
LuD,"A $^1\Pi$",1.99117769,,,,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1975"
LuD,"B $^1\Pi$",1.99117769,15306.3,988.54,12.1,2.2681,0.04,444,1.932,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1975"
MgBr,"X $^2\Sigma^+$",18.3945343,0,373.8,1.34,0.1645,,,2.36,3.35,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgBr,"A $^2\Pi$",18.3945343,25766.9,393.9,2.04,0.1685,,,2.332,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgBr,"A $^2\Pi$",18.3945343,25877,393.9,2.04,0.1685,,,2.332,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgCl,"X $^2\Sigma^+$",14.226871,0,462.12,2.1,0.24502,0.00158,2.52,2.1991,3.29,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgCl,"A $^2\Pi_{3/2}$",14.226871,26469.4,491.6,2.54,0.24914,0.0018,2.25,2.1808,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgCl,"A $^2\Pi_{1/2}$",14.226871,26523.4,491.6,2.54,0.25116,0.0018,2.25,2.172,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgH,"X $^2\Sigma^+$",0.96718516,0,1495.2,31.889,5.8257,0.1859,3440,1.7297,1.34,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgH,"A $^2\Pi$",0.96718516,19226.8,1598.17,31.085,6.1913,0.1931,3600,1.6778,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgD,"X $^2\Sigma^+$",1.85807372,0,1077.89,16.12,3.0306,0.06289,921,1.7302,1.36,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgD,"A $^2\Pi$",1.85807372,19235.5,1154.75,16.675,3.219,0.06795,964,1.6778,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgO,"X $^1\Sigma^+$",9.9577628,0,785.06,5.18,0.5743,0.005,12.2,1.749,3.53,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgO,"a $^3\Pi$",9.9577628,2400,650,,0.5,,,1.87,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgO,"A $^1\Pi$",9.9577628,3563.3,664.44,3.91,0.5056,0.0046,11.8,1.864,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgS,"X $^1\Sigma^+$",13.7042725,0,528.74,2.704,0.26797,0.00176,2.76,2.1425,2.4,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgS,"B $^1\Sigma^+$",13.7042725,23052.59,497.34,2.333,0.25518,0.00155,2.69,2.1956,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MnH,"X $^7\Sigma$",0.98966996,0,1548,28.8,5.6841,0.157,3039,1.7311,2.5,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1975"
MnH,"A $^7\Pi$",0.98966996,17597,1623,33,6.425,0.187,3620,1.628,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1975"
MnD,"X $^7\Sigma$",1.94287387,0,1102.5,13.9,2.8957,0.0513,795,1.731,2.6,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1975"
MnD,"A $^7\Pi$",1.94287387,17602,1205,17,3.244,,951,1.635,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1975"
MnO,"X $^6\Sigma$",12.38816716,0,839.6,4.7,0.435,,,1.769,3.7,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1975"
MnO,"A $^6\Sigma$",12.38816716,17949,762.8,9.6,0.39,,,1.868,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1975"
NBr,"X $^3\Sigma^-$",11.89283845,0,691.75,4.72,0.444,0.004,,1.787,2.9,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NBr,"b $^1\Sigma^+$",11.89283845,14787.3,785.5,4.363,0.4733,0.0152,,1.7306,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NCl,"X $^3\Sigma^-$",9.99902349,0,827,5.1,0.64685,,17.8,1.6144,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NCl,"b $^1\Sigma^+$",9.99902349,14984.6,935.6,5.4,0.68284,,16.5,1.5713,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NF,"X $^3\Sigma^-$",8.06133789,0,1141.37,8.99,1.20568,0.01492,53.9,1.31698,3.5,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NF,"a $^1\Delta$",8.06133789,12003.6,,,1.2225,,45,1.3079,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NF,"b $^1\Sigma^+$",8.06133789,18877.05,1197.49,8.64,1.2377,0.01448,52.8,1.2998,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NH,"X $^3\Sigma^-$",0.9416028,0,3282.27,78.35,16.6993,0.649,17097,1.03621,3.47,13.63,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
NH,"a $^1\Delta$",0.9416028,12566,3188,68,16.439,0.66,16200,1.0341,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
NH,"b $^1\Sigma^+$",0.9416028,21202,3352.4,74.24,16.705,0.591,16000,1.036,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
NH,"A $^3\Pi$",0.9416028,29807.4,3231.2,98.6,16.6745,0.7454,17800,1.03698,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
ND,"X $^3\Sigma^-$",1.76083613,0,2398,42,8.7913,0.2531,4904,1.03612,3.54,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
ND,"a $^1\Delta$",1.76083613,12596,2356.17,36,8.9542,0.2427,7838,1.034,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
ND,"b $^1\Sigma^+$",1.76083613,21198,2371.81,38.8,8.9472,0.2383,4640,1.0344,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
ND,"A $^3\Pi$",1.76083613,29820,2361,53,8.7575,0.2829,5087,1.0372,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
NO,"X $^2\Pi$",7.46643323,0,1904.204,14.075,1.67195,0.0171,5.4,1.15077,6.4968,9.26436,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
NO,"X $^2\Pi$",7.46643323,119.82,1904.04,14.1,1.72016,0.0182,102.3,1.15077,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
NO,"a $^4\Pi$",7.46643323,38440,1017,11,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
NO,"A $^2\Sigma^+$",7.46643323,43965.7,2374.31,16.106,1.9965,0.01915,54,1.0634,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
NO,"B $^2\Pi$",7.46643323,45913.6,1037.2,7.7,1.092,0.012,49,1.4167,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
NO,"B $^2\Pi$",7.46643323,45942.6,1039.8,8.32,1.152,0.012,49,1.4167,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
NS,"X $^2\Pi$",9.73802894,0,1218.7,7.28,0.769602,0.00635,12,1.49402,4.8,8.87,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NS,"X $^2\Pi$",9.73802894,221.5,1218.7,7.28,0.775156,0.00635,12,1.49402,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NS,"B $^2\Pi$",9.73802894,30294.9,797.31,3.72,0.5962,0.0048,13,1.697,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NS,"B $^2\Pi$",9.73802894,30384.1,798.78,3.59,0.6013,0.0046,13,1.697,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NSe,"X $^2\Pi_{1/2}$",11.91526639,0,956.81,5.643,0.5182,0.004,6.5,1.6518,4,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NSe,"X $^2\Pi_{3/2}$",11.91526639,891.8,954.96,5.648,0.5189,0.004,6.5,1.6518,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
NSe,"a $^4\Pi$",11.91526639,19700,710.7,10.3,0.361,0.002,,1.98,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
OH,"X $^2\Pi$",0.9480871,0,3737.761,84.8813,18.9108,0.7242,19380,0.96966,4.392,12.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
OH,"A $^2\Sigma^+$",0.9480871,32684.1,3178.86,92.917,17.358,0.7868,20390,1.0121,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
OD,"X $^2\Pi$",1.78884797,0,2720.24,44.055,10.0209,0.2757,5374,0.96975,4.453,12.91,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
OD,"A $^2\Sigma^+$",1.78884797,32680.85,2316.17,50.433,9.1936,0.3181,5763,1.0124,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
PbF,"X $^2\Pi_{1/2}$",17.4081886,0,502.73,2.28,0.22875,0.001473,1.83,2.0575,3.64,7.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PbF,"X $^2\Pi_{3/2}$",17.4081886,8263.5,528.73,1.5,0.23403,0.00145,1.78,2.0342,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PbF,"A $^2\Sigma^+$",17.4081886,22556.5,394.73,1.77,0.20762,0.00143,2.22,2.1597,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PbF,"B $^2\Sigma^+$",17.4081886,35644.4,605.75,3.42,0.2481,0.001479,1.63,1.9756,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PbH,"X $^2\Pi_{1/2}$",1.002965,0,1564.1,29.75,4.971,0.144,2010,1.8388,1.59,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
PbH,A,1.002965,17590,500,10,,0.005,,2.36,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
PbH,B,1.002965,18030,478.8,,2.478,,,2.604,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1977"
PbO,"X $^1\Sigma^+$",14.85263923,0,721,3.54,0.3073056,0.00191,2.23,1.921813,3.83,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PbO,"a $1$",14.85263923,16024.9,481.5,2.45,0.252,,,2.12,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PbO,"b $0^-$",14.85263923,16454,441,,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PbO,"A $0^+$",14.85263923,19862.6,444.3,0.54,0.25869,0.00138,3.3,2.0946,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PbS,"X $^1\Sigma^+$",27.7119401,0,429.4,1.3,0.11631868,0.00043509,0.3415,2.286863,3.49,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PbS,"a $1$",27.7119401,14892.9,285.9,0.88,0.09267,0.000374,,2.562,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PbS,"A $0^+$",27.7119401,18853,260.83,0.363,0.09634,0.000262,,2.513,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
